文件序号,序号,日期,商家,商品名,总价,价格
 , , , ,【天猫超市】好吃点甄好曲奇黄油味208g 办公室休闲食品零食饼干, ,16.00
 , , , ,【天猫超市】越南进口 中原G7 三合一咖啡800g（16g*50包）, ,34.90
 , , , ,【天猫超市】mg美即深海胶原滋养保湿面膜升级版25g 补水 护肤品, ,0.01
 , , , ,【天猫超市】绿伞去污超人洗衣液200g*2袋组合装 自然香型洁净, ,0.01
 , , , ,【天猫超市】  圣牧 全程有机低脂奶 低脂纯牛奶200ml*24盒实惠装, ,69.00
 ,32,2016-11-20,日本yukeido, ,258.00, 
 , , , ,日本yukeido眼部颈部护理套装 颈霜紧致去颈纹黑眼圈保湿颈纹霜女, ,258.00
 , , , ,保险服务, ,0.00
 ,33,2016-11-19,沃隆聚壹品专卖店, ,138.00, 
 , , , ,沃隆每日坚果成人款儿童款孕妇零食小包装混合坚果零食组合30袋, ,138.00
 , , , ,保险服务, ,0.00
 ,34,2016-11-19,微微的海代小铺, ,54.50, 
 , , , ,代购正品/美宝莲极细易画液体眼线笔/眼线液笔羽翼版 防水不晕染, ,54.50
 ,35,2016-11-14,扬子其安专卖店, ,32.90, 
 , , , ,扬子暖脚宝插电电暖鞋暖脚器加热暖脚垫电热垫保暖鞋办公室可拆洗, ,32.90
 ,36,2016-11-14,扬子其安专卖店, ,32.90, 
 , , , ,扬子暖脚宝插电电暖鞋暖脚器加热暖脚垫电热垫保暖鞋办公室可拆洗, ,32.90
 ,37,2016-11-11,onet凡兔旗舰店, ,69.00, 
 , , , ,【双11全球狂欢节】关晓彤同款凡兔女装秋新款韩版卫衣女学生宽松套头连帽修身外套潮, ,69.00
 , , , ,保险服务, ,0.00
 ,38,2016-11-11,瓷肌德馨雅专卖店, ,34.20, 
 , , , ,【双11全球狂欢节】瓷肌CC霜正品50g裸妆遮瑕强持久补水白皙提亮肤色气垫隔离粉底液, ,34.20
 , , , ,保险服务, ,0.00
 ,39,2016-11-11,新华在线图书专营店, ,35.60, 
 , , , ,【双11全球狂欢节】【双11低折限量】利用Python进行数据分析 计算机书籍 Python实用指南书籍 Pytho, ,35.60
 , , , ,保险服务, ,0.00
 ,40,2016-11-11,兴阅图书专营店, ,34.50, 
 , , , ,【双11全球狂欢节】正版 包邮价 机器学习实战 peter harrington著 python机器概念书籍 计算机, ,34.50
 , , , ,保险服务, ,0.00
 ,41,2016-11-11,新华文轩网络书店, ,35.20, 
 , , , ,【双11全球狂欢节】机器学习 人工智能大牛周志华著 权威的机器学习入门中文教科书 实战方法 教材 基础教程 清华大学, ,35.20
 , , , ,保险服务, ,0.00
 ,42,2016-11-11,奥维博世图书专营店, ,29.50, 
 , , , ,【双11全球狂欢节】3768517|正版包邮大规模分布式存储系统：原理解析与架构实战/计算机书籍, ,29.50
 , , , ,保险服务, ,0.00
 ,43,2016-11-11,新华在线图书专营店, ,119.20, 
 , , , ,【双11全球狂欢节】最简单的图形与最复杂的信息:如何有效建立你的视觉思维 经济  新华书店正版畅销图书籍, ,15.18
 , , , ,【双11全球狂欢节】线性代数 张文博  教材教辅 教育 数学  新华书店正版畅销图书籍  线性代数(原书第8版)/华, ,29.98
 , , , ,【双11全球狂欢节】领域驱动设计:软件核心复杂性应对之道 新华书店正版畅销图书籍  领域驱动设计 软件核心复杂性应对, ,31.83
 , , , ,【双11全球狂欢节】霍乱时期的爱情 马尔克斯加西亚 百年孤独作者 诺贝尔文学奖  外国文学拉美文学 至美爱情小说 穷, ,22.84
 , , , ,【双11全球狂欢节】奇特的一生(精装珍藏版) 励志  新华书店正版畅销图书籍, ,19.37
 , , , ,保险服务, ,0.00
 ,44,2016-11-11,aaskincare化妆品旗舰店, ,74.00, 
 , , , ,【双11全球狂欢节】英国AA网荷荷巴油100ml 按摩去黑头 基础油植物护发精油 霍霍巴油, ,74.00
 , , , ,保险服务, ,0.00
 ,45,2016-11-11,韩都衣舍旗舰店, ,398.00, 
 , , , ,【双11全球狂欢节】韩都衣舍2016韩版女装冬装新款直筒连帽纯色中长款羽绒服JQ6028樰, ,398.00
 , , , ,保险服务, ,0.00
4
 ,46,2016-11-10,Anshu 桉树, ,55.00, 
 , , , ,春秋黑色打底裤女外穿长裤显瘦薄款紧身仿牛仔小脚铅笔裤加长高腰, ,55.00
 , , , ,保险服务, ,0.00
 ,47,2016-11-08,蓝天图文二号店, ,21.80, 
 , , , ,面向模式的软件架构 第4卷 分布式计算的模式语言（高清）, ,21.80
 ,48,2016-11-08,日本yukeido, ,133.59, 
 , , , ,【天天特价】日本yukeido美颈霜紧致去颈纹 嫩白提拉颈膜颈部护理, ,133.59
 , , , ,保险服务, ,0.00
 ,49,2016-11-06,开心人大药房旗舰店, ,45.00, 
 , , , ,达芙文 达芙文 阿达帕林凝胶 30g*1支/盒, ,45.00
 ,50,2016-11-06,Anshu 桉树, ,55.00, 
 , , , ,春秋黑色打底裤女外穿长裤显瘦薄款紧身仿牛仔小脚铅笔裤加长高腰, ,55.00
 , , , ,保险服务, ,0.00
 ,51,2016-11-05,猪小姐家居百货生活馆, ,25.46, 
 , , , ,卷尺迷你量衣尺可爱圆形塑料皮尺1.5米裁缝尺软尺自动收缩小尺子, ,0.88
 , , , ,便利贴便签纸批发韩国可爱创意留言贴纸空白纸迷你留言卡片N次贴, ,0.80
 , , , ,文件袋拉链透明学生商务韩国文具拉边收纳袋环保磨砂防水档案袋子, ,1.37
 , , , ,尺子学生文具测量不锈钢工具尺创意多功能直尺金属镂空美术绘画尺, ,1.98
 , , , ,燕尾夹小夹子金色办公学生用反尾夹文件夹大中小号创意可爱长尾夹, ,0.99
 , , , ,袜子男袜秋冬季节男士中筒袜运动袜加厚防臭袜吸汗全棉黑白纯色袜, ,1.89
 , , , ,椅子脚套垫家具脚垫加厚防滑多功能坐垫餐桌垫保护垫桌脚垫子, ,1.90
 , , , ,收纳筐桌面杂物手提加厚迷你小号篮子宿舍布艺储物篮置物篮收纳篮, ,6.36
 , , , ,保暖贴发热贴驱寒大号膝关节暖宫贴暖身贴袋鼠卡通自发热贴暖宝宝, ,0.35
 , , , ,燕尾夹小夹子金色办公学生用反尾夹文件夹大中小号创意可爱长尾夹, ,0.36
 ,52,2016-11-04,吉吉时尚眼镜, ,23.10, 
 , , , ,高档眼镜盒包邮 韩国小清新学生近视眼镜盒 光学眼镜盒配件包邮, ,15.00
 , , , ,高档眼镜盒包邮 韩国小清新学生近视眼镜盒 光学眼镜盒配件包邮, ,15.00
 , , , ,保险服务, ,0.60
 ,53,2016-11-02,扬子其安专卖店, ,32.90, 
 , , , ,扬子暖脚宝插电电暖鞋暖脚器加热暖脚垫电热垫保暖鞋办公室可拆洗, ,32.90
 ,54,2016-10-29,天猫超市, ,80.30, 
 , , , ,【天猫超市】ABD口袋面包菠萝夹心蛋糕整箱750g 手撕早餐糕点心, ,22.94
 , , , ,【天猫超市】口口妙 手撕面包 香蕉牛奶味800g箱 早餐 蒸蛋糕, ,17.70
